,company_id,Company,Followers,No_of_Employees ,Industry_copy,Industry
107,cp_108,Capgemini,"3,671 followers",2-10 employees,Staffing and Recruiting 2-10 employees 4 on LinkedIn,Staffing and Recruiting 
108,cp_109,DXFactor,"168,189 followers",51-200 employees,Government Relations Services 51-200 employees 522 on LinkedIn,Government Relations Services 
109,cp_110,Cummins India,"1,219,854 followers","10,001+ employees","Advertising Services 10,001+ employees 14,414 on LinkedIn",Advertising Services 
110,cp_111,Synchrony,"32,459,394 followers","10,001+ employees","Software Development 10,001+ employees 282,324 on LinkedIn",Software Development 
111,cp_112,Microsoft,"7,188,688 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 313,519 on LinkedIn",IT Services and IT Consulting 
112,cp_113,Novo Nordisk,"14,684,648 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 594,255 on LinkedIn",IT Services and IT Consulting 
113,cp_114,Tech Mahindra,"95,120 followers","10,001+ employees","Outsourcing and Offshoring Consulting 10,001+ employees 14,214 on LinkedIn",Outsourcing and Offshoring Consulting 
114,cp_115,Godrej & Boyce Mfg. Co. Ltd.,"3,754,482 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 101,571 on LinkedIn",IT Services and IT Consulting 
115,cp_116,Great Learning,"37,947 followers",51-200 employees,IT Services and IT Consulting 51-200 employees 84 on LinkedIn,IT Services and IT Consulting 
116,cp_117,Chakr Innovation,"1,280,288 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 27,749 on LinkedIn",IT Services and IT Consulting 
117,cp_118,Unicommerce,"1,144,944 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 18,096 on LinkedIn",IT Services and IT Consulting 
118,cp_119,Meril,"320,599 followers","10,001+ employees","Public Safety 10,001+ employees 14,247 on LinkedIn",Public Safety 
119,cp_120,Havas Media Network,"563,790 followers","10,001+ employees","Financial Services 10,001+ employees 69,402 on LinkedIn",Financial Services 
120,cp_121,EXL,"456,049 followers","5,001-10,000 employees","Semiconductor Manufacturing 5,001-10,000 employees 8,630 on LinkedIn",Semiconductor Manufacturing 
121,cp_122,Milliman,"493,893 followers","5,001-10,000 employees","E-Learning Providers 5,001-10,000 employees 12,327 on LinkedIn",E-Learning Providers 
122,cp_123,EY,"4,223,885 followers","10,001+ employees","Financial Services 10,001+ employees 194,455 on LinkedIn",Financial Services 
123,cp_124,TEKsystems,"462,144 followers","10,001+ employees","Engineering Services 10,001+ employees 13,814 on LinkedIn",Engineering Services 
124,cp_125,Quick Heal,"703,860 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 26,819 on LinkedIn",IT Services and IT Consulting 
125,cp_126,NA,"2,085,310 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 49,365 on LinkedIn",IT Services and IT Consulting 
126,cp_127,3M,"33,747 followers","1,001-5,000 employees","E-Learning Providers 1,001-5,000 employees 838 on LinkedIn",E-Learning Providers 
127,cp_128,Unacademy,"14,684,671 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 594,255 on LinkedIn",IT Services and IT Consulting 
128,cp_129,Lockton,"14,684,673 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 594,255 on LinkedIn",IT Services and IT Consulting 
129,cp_130,Teach For India,"8,561,108 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 320,829 on LinkedIn",IT Services and IT Consulting 
130,cp_131,Shell,"155,193 followers","1,001-5,000 employees","Staffing and Recruiting 1,001-5,000 employees 2,747 on LinkedIn",Staffing and Recruiting 
131,cp_132,GE Vernova,"627,482 followers","10,001+ employees","Banking 10,001+ employees 49,689 on LinkedIn",Banking 
132,cp_133,Airtel Digital,"78,839 followers","1,001-5,000 employees","Business Consulting and Services 1,001-5,000 employees 1,915 on LinkedIn",Business Consulting and Services 
133,cp_134,Ecolab Digital Center,"70,300 followers","501-1,000 employees","Maritime Transportation 501-1,000 employees 697 on LinkedIn",Maritime Transportation 
134,cp_135,Infor,"340,260 followers","1,001-5,000 employees","Retail 1,001-5,000 employees 3,597 on LinkedIn",Retail 
135,cp_136,Applicantz,"84,242 followers","501-1,000 employees","Online Audio and Video Media 501-1,000 employees 477 on LinkedIn",Online Audio and Video Media 
136,cp_137,Ami Lifesciences Pvt. Ltd.,"872,934 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 11,609 on LinkedIn",IT Services and IT Consulting 
137,cp_138,Urban Company,"1,280,294 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 27,749 on LinkedIn",IT Services and IT Consulting 
138,cp_139,Advarra,"7,188,700 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 313,519 on LinkedIn",IT Services and IT Consulting 
139,cp_140,Housr,"1,305,663 followers","10,001+ employees","Telecommunications 10,001+ employees 87,123 on LinkedIn",Telecommunications 
140,cp_141,PTC,"7,952 followers","10,001+ employees","Wholesale Building Materials 10,001+ employees 11 on LinkedIn",Wholesale Building Materials 
141,cp_142,HCLTech,"3,754,487 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 101,571 on LinkedIn",IT Services and IT Consulting 
142,cp_143,Goldman Sachs,"352,586 followers","1,001-5,000 employees","Technology, Information and Internet 1,001-5,000 employees 887 on LinkedIn","Technology, Information and Internet "
143,cp_144,EMotorad,"2,478,135 followers","10,001+ employees","Retail 10,001+ employees 54,092 on LinkedIn",Retail 
144,cp_145,MRI Software,"2,199 followers",2-10 employees,Staffing and Recruiting 2-10 employees 3 on LinkedIn,Staffing and Recruiting 
145,cp_146,Intel Corporation,"1,794,507 followers","10,001+ employees","Financial Services 10,001+ employees 25,441 on LinkedIn",Financial Services 
146,cp_147,Truelancer.com,"2,071,997 followers","10,001+ employees","Business Consulting and Services 10,001+ employees 28,712 on LinkedIn",Business Consulting and Services 
147,cp_148,KnowledgeWorks Global Ltd.,"1,280,295 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 27,749 on LinkedIn",IT Services and IT Consulting 
148,cp_149,WN Infotech,"14,684,683 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 594,255 on LinkedIn",IT Services and IT Consulting 
149,cp_150,DataE2E Technologies,"62,165 followers","1,001-5,000 employees","IT Services and IT Consulting 1,001-5,000 employees 111 on LinkedIn",IT Services and IT Consulting 
150,cp_151,Embee Software Pvt. Ltd.,"3,864 followers",11-50 employees,IT Services and IT Consulting 11-50 employees 22 on LinkedIn,IT Services and IT Consulting 
151,cp_152,slice,"53,027 followers","5,001-10,000 employees","Computer Networking 5,001-10,000 employees 1,471 on LinkedIn",Computer Networking 
152,cp_153,ZARA SA,"14,684,685 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 594,255 on LinkedIn",IT Services and IT Consulting 
153,cp_154,SLB,"563,793 followers","10,001+ employees","Financial Services 10,001+ employees 69,402 on LinkedIn",Financial Services 
154,cp_155,IKEA,"269,082 followers","1,001-5,000 employees","Advertising Services 1,001-5,000 employees 1,298 on LinkedIn",Advertising Services 
